feature,f_score,p_value
koi_fpflag_co,2196.749042344116,0.0
koi_fpflag_ss,1356.5427868428776,0.0
koi_fpflag_ec,695.2194241971555,6.101886208904623e-259
koi_incl,505.36296608398845,7.121544716956103e-196
koi_teq,286.11131780011607,1.1460831848283811e-116
koi_num_transits,278.7913217168762,6.852651905498074e-114
koi_smet,160.47048301401614,1.0695838494035569e-67
koi_steff,91.21047219595773,1.9353217784312928e-39
koi_max_mult_ev,74.51661281368987,1.7424945863956855e-32
koi_max_sngle_ev,72.59823946552268,1.1066503448212126e-31
koi_depth,70.0758692378955,1.2611949072722958e-30
koi_smass,60.80552077066688,9.909699703059036e-27
ra,57.756693025298624,1.910138716565673e-25
dec,38.22491814056222,3.6293114107433006e-17
koi_model_snr,37.359987649312174,8.478392510914857e-17
koi_slogg,36.78138278693639,1.4959190785026773e-16
koi_impact,33.70287796524601,3.0770882859223417e-15
koi_duration,23.33077776878446,8.467166622203648e-11
koi_srad,19.174152098633947,5.169711010336978e-09
koi_srho,18.052709237063038,1.5699846596131795e-08
koi_time0bk,15.794846418180427,1.472419354023202e-07
koi_sma,11.245734137648633,1.3491989132341645e-05
koi_ror,11.13963148046918,1.499314240677419e-05
koi_prad,10.545482018040456,2.7070791474255872e-05
koi_insol,9.079164995627082,0.00011644594527845057
koi_dor,4.625845073661778,0.009849208827984028
koi_period,4.583033498465358,0.010278987909159865
koi_kmag,3.7471362873349063,0.02367019100030451
koi_hmag,3.5991617943555014,0.02743755328473895
koi_zmag,2.9582872306084953,0.052024298871398166
koi_jmag,2.166937932636355,0.1146657158988757
koi_gmag,0.5162370353104012,0.5968027162098258
koi_imag,0.36884060165718124,0.691559763835066
koi_bin_oedp_sig,0.17407062982624785,0.840244080841713
koi_fpflag_nt,0.14665160712675884,0.8635995598268909
koi_kepmag,0.053664240236100995,0.9477509696796822
koi_rmag,0.025023338230803483,0.9752873069530933
