,min,max,mean,median,std,iqr,skewness,outliers_count,outliers_pct
koi_period,0.259819659,129995.7784,63.45157474006332,8.82715783,2082.787054346132,19.210756874,62.28461333083522,1,0.03
koi_time0bk,120.5659254,657.26877,160.64462223301717,139.4831786,51.19499954208771,37.82181,3.429105406078705,156,4.0
koi_impact,0.0,98.6021,0.5956584045584045,0.558,1.6869316785631354,0.709,51.21134962881328,10,0.26
koi_duration,0.2961,70.3707,4.422862299410409,3.4117,4.056908330754322,2.9649,5.589735928697754,66,1.69
koi_depth,0.8,348130.0,2780.383087283087,481.8,12037.709929927885,850.6,15.922191381086783,52,1.33
koi_ror,0.001289,97.605156,0.10712316472416472,0.022291,1.6299050796179273,0.023264,55.85791856611898,10,0.26
koi_srho,6e-05,564.89948,2.8917403907867496,1.087745,12.78403373978051,2.3082075,29.505922316145966,22,0.56
koi_prad,0.08,15049.8,15.05882413882414,2.35,252.809770836553,2.7600000000000002,55.12627493515209,8,0.21
koi_sma,0.0059,44.9892,0.15198376068376068,0.0812,0.7492500624081386,0.10849999999999999,55.65059947592322,5,0.13
koi_incl,5.58,90.0,84.02771302771303,88.5,12.912946950227404,4.170000000000002,-3.657457407241301,136,3.49
koi_teq,25.0,10634.0,993.3356643356643,854.0,648.3075820773817,609.0,3.7953386696846745,56,1.44
koi_insol,0.0,3036857.56,3267.021394927536,125.685,63520.33172424746,467.56749999999994,41.301960044941616,8,0.21
koi_dor,1.0119,79614.0,51.91866089121989,15.715,1282.368268002516,24.59,61.905079553638714,1,0.03
koi_steff,2661.0,10816.0,5581.327894327895,5685.0,718.8646508487113,758.0,-0.11266616401871184,42,1.08
koi_slogg,0.65,5.283,4.38468376068376,4.459,0.31426967350826823,0.25399999999999956,-3.6658681174225425,57,1.46
koi_smet,-1.98,0.56,-0.05779564315352698,-0.04,0.2522077165494921,0.34,-1.3104751760095605,38,0.97
koi_srad,0.116,101.451,1.2685993265993265,0.963,3.0490074242869696,0.3780000000000001,25.216234155359228,21,0.54
koi_smass,0.094,3.601,0.9684506604506605,0.95,0.2732875792962803,0.2360000000000001,2.3446949173061307,71,1.82
ra,280.25839,301.72076,291.71087230453736,291.9519,4.82239907551196,7.494869999999992,-0.2396155186729226,0,0.0
dec,36.577381,52.149132,43.87153090002564,43.824421,3.6532786860525266,6.0450210000000055,0.11231713410138204,0,0.0
koi_kepmag,6.974,18.533,14.35609536016406,14.641,1.2621900848886773,1.690999999999999,-1.05930735787858,49,1.26
koi_fpflag_nt,0.0,465.0,0.15867726224045117,0.0,7.446919493470027,0.0,62.39397411356834,1,0.03
koi_fpflag_ss,0.0,1.0,0.14406562419892335,0.0,0.3512012788365994,0.0,2.027993487065724,0,0.0
koi_fpflag_co,0.0,1.0,0.16918738784926943,0.0,0.3749654083257452,0.0,1.765401798702025,0,0.0
koi_fpflag_ec,0.0,1.0,0.09177134068187644,0.0,0.2887399060444113,0.0,2.829107113295731,358,9.18
koi_max_sngle_ev,2.6062357,3056.0376,24.382188285971893,5.7464237,92.17654559845037,6.83695015,15.230331471337738,50,1.28
koi_max_mult_ev,7.111863,11200.769,147.11811139814372,25.692062,544.0539776665239,35.690788,8.83052833107406,71,1.82
koi_model_snr,0.0,5945.9,110.41250971250972,33.0,317.55557480475846,46.6,7.57758464730976,83,2.13
koi_num_transits,0.0,2648.0,312.1856271546009,137.0,439.4992158797143,292.0,2.4624565259839466,99,2.54
koi_bin_oedp_sig,-1.0,1.0,0.5041038082556591,0.5302,0.34608999981840743,0.5845,-0.6832960039964432,32,0.82
koi_gmag,7.628,20.41,14.94501927525058,15.196,1.3835675985033653,1.8419999999999987,-0.8224658520222561,39,1.0
koi_rmag,7.227,18.477,14.309897330595483,14.599,1.2610533346960164,1.6997499999999999,-1.0185229659846897,47,1.2
koi_imag,7.674,18.465,14.16228902788637,14.408,1.1509614777981974,1.5739999999999998,-0.9579732902477577,41,1.05
koi_zmag,7.657,16.686,14.088277340569876,14.331,1.100340352853018,1.4830000000000005,-1.125528399110667,38,0.97
koi_jmag,5.393,16.761,13.067237105465743,13.31,1.1706350666057201,1.5360000000000014,-1.1513693054493503,48,1.23
koi_hmag,4.854,15.957,12.688254298178085,12.896,1.1435281056836,1.4459999999999997,-1.1799094927638274,46,1.18
koi_kmag,4.718,15.895,12.612054400821144,12.806,1.1437220276835536,1.4689999999999994,-1.1910784571741697,44,1.13
