feature,confirmed_mean,confirmed_std,false_positive_mean,false_positive_std,candidate_mean,candidate_std
koi_period,24.0642,49.7251,29.5973,83.0635,333.6193,5952.414
koi_time0bk,157.0387,41.0194,164.7488,60.7824,169.0235,68.0574
koi_impact,0.4431,0.3361,0.9529,3.146,0.5504,0.3849
koi_duration,4.0766,2.4727,5.0697,5.9892,4.654,4.6539
koi_depth,1111.0026,2604.5841,6365.1142,19205.6575,3025.9661,16995.3281
koi_ror,0.0264,0.0248,0.3096,3.1048,0.0525,0.0907
koi_srho,2.666,5.2498,1.9559,10.8266,6.1773,30.7404
koi_prad,2.8949,3.4011,45.6268,481.6622,6.6848,13.6884
koi_sma,0.1334,0.138,0.1244,0.2201,0.3087,2.1107
koi_incl,87.8886,3.3422,74.3606,20.7475,86.6048,7.4559
koi_teq,837.2675,366.735,1374.3195,933.4886,911.5184,612.0229
koi_insol,321.9947,1160.9642,10341.0989,120434.6661,1940.3826,17057.3839
koi_dor,30.404,44.4691,24.2866,75.248,223.7955,3699.0313
koi_steff,5470.9496,664.8578,5821.1163,774.2473,5591.2397,717.4091
koi_slogg,4.4193,0.223,4.3217,0.4348,4.3534,0.3532
koi_smet,-0.003,0.2154,-0.1615,0.2665,-0.0989,0.3045
koi_srad,1.043,0.4902,1.7475,5.6557,1.3142,1.5775
koi_smass,0.9321,0.2121,1.042,0.3449,0.9841,0.3237
ra,291.0982,4.7877,292.9717,4.6621,291.8554,4.7919
dec,44.2564,3.5765,43.0994,3.6488,43.736,3.7553
koi_kepmag,14.3587,1.2122,14.3461,1.3062,14.3661,1.3967
koi_fpflag_nt,0.1995,9.6107,0.1404,0.3475,0.0,0.0
koi_fpflag_ss,0.0056,0.0743,0.5069,0.5002,0.0,0.0
koi_fpflag_co,0.0,0.0,0.6094,0.4881,0.0,0.0
koi_fpflag_ec,0.0,0.0,0.3306,0.4706,0.0,0.0
koi_max_sngle_ev,12.5946,28.2301,54.68,167.2781,17.0296,38.6111
koi_max_mult_ev,81.4765,306.2784,328.8304,907.9531,75.5552,211.1663
koi_model_snr,86.3832,279.0455,182.2324,424.063,67.7413,142.5475
koi_num_transits,204.4891,278.4324,582.0682,608.2345,261.345,410.5716
koi_bin_oedp_sig,0.5026,0.3061,0.5052,0.423,0.5098,0.3522
koi_gmag,14.9624,1.3412,14.9089,1.4081,14.941,1.5271
koi_rmag,14.3112,1.214,14.3034,1.2993,14.318,1.396
koi_imag,14.1498,1.0967,14.1827,1.2127,14.1777,1.2648
koi_zmag,14.0595,1.0624,14.1476,1.132,14.1031,1.2073
koi_jmag,13.0376,1.1131,13.1257,1.2368,13.0806,1.2841
koi_hmag,12.6515,1.0886,12.7633,1.2163,12.6987,1.2277
koi_kmag,12.5748,1.0885,12.689,1.2129,12.621,1.237
